Morph-Lemma,Morph-Inflection
おう,おわ
おぉ,おぉ
おおう,おおお
おおう,おおっ
おかえり,おかえり
おかけ,おかけ
おかげ,おかげ
おかし,おかし
おかしい,おかしい
おかしい,おかしく
おかす,おかし
おき,おき
おく,おい
おく,おか
おく,おき
おく,おく
おく,おけ
おく,おこ
おごる,おごっ
おごる,おごり
おごる,おごる
おごる,おごれ
おごる,おごろ
おしまい,おしまい
おしゃべり,おしゃべり
おじ,おじ
おじいさん,おじいさん
おじいちゃん,おじいちゃん
おじさん,おじさん
おすすめ,おすすめ
おそらく,おそらく
おっ,おっ
おっさん,おっさん
おっしゃる,おっしゃ
おっしゃる,おっしゃい
おっしゃる,おっしゃっ
おっしゃる,おっしゃら
おっしゃる,おっしゃる
おっちゃん,おっちゃん
おでこ,おでこ
おとうさん,おとうさん
おととい,おととい
おとなしい,おとなしい
おとなしい,おとなしく
おどる,おどり
おどる,おどりゃ
おどろかす,おどろかさ
おどろく,おどろい
おなか,おなか
おののく,おののく
おはよう,おはよう
おばあさん,おばあさん
おばけ,おばけ
おばさん,おばさん
おまえ,おまえ
おまかせ,おまかせ
おめでとう,おめでとう
おもしろい,おもしろ
おもしろい,おもしろい
おもしろい,おもしろかっ
おもちゃ,おもちゃ
おもてなし,おもてなし
おやじ,おやじ
およそ,およそ
おら,おら
おりる,おり
おる,お
おる,おっ
おる,おら
おる,おり
おる,おりゃ
おる,おる
おる,おろ
おる,おん
おーい,おーい
お世話,お世話
お互い,お互い
お伝え,お伝え
お側,お側
お先に,お先に
お前,お前
お化け,お化け
お参り,お参り
お呼び,お呼び
お墨付き,お墨付き
お嬢さん,お嬢さん
お嬢様,お嬢様
お子さん,お子さん
お守り,お守り
お客,お客
お客様,お客様
お寺,お寺
お年玉,お年玉
お幸せ,お幸せ
お待ち,お待ち
お悔やみ,お悔やみ
お手上げ,お手上げ
お手伝い,お手伝い
お断り,お断り
お昼,お昼
お札,お札
お正月,お正月
お母さん,お母さん
お気,お気
お湯,お湯
お父さん,お父さん
お疲れさま,お疲れさま
お疲れ様,お疲れ様
お盆,お盆
お目にかかる,お目にかかっ
お目にかかる,お目にかかり
お目にかかる,お目にかかる
お知らせ,お知らせ
お礼,お礼
お祝い,お祝い
お立ち,お立ち
お笑い,お笑い
お答え,お答え
お腹,お腹
お花畑,お花畑
お茶,お茶
お菓子,お菓子
お薦め,お薦め
お袋,お袋
お許し,お許し
お詫び,お詫び
お話,お話
お話し,お話し
お辞儀,お辞儀
お返し,お返し
お金,お金
お開き,お開き
お隣,お隣
お願い,お願い
か,か
かぁ,かぁ
かい,かい
かう,かい
かう,かう
かう,かお
かう,かっ
かう,かわ
かえって,かえって
かお,かお
かかし,かかし
かかる,かかっ
かかる,かから
かかる,かかり
かかる,かかる
かかる,かかれ
かかる,かかろ
かかる,かかん
かかれる,かかれ
かかわる,かかわっ
かかわる,かかわら
かかわる,かかわり
かかわる,かかわる
かき消す,かき消す
かく,かい
かく,かか
かく,かき
かく,かく
かけ,かけ
かけつける,かけつけ
かけつける,かけつける
かける,かけ
かける,かけよ
かける,かけりゃ
かける,かける
かける,かけれ
かける,かけろ
かける,かけん
かしこまる,かしこまっ
かしこまる,かしこまり
かしら,かしら
かす,かさ
かす,かし
かす,かす
かす,かそ
かすか,かすか
かせる,かせ
かぜ,かぜ
かたい,かた
かたい,かたい
かたい,かたき
かっこいい,かっこいい
かつて,かつて
かな,かな
かなう,かない
かなう,かなう
かなう,かなっ
かなう,かなわ
かなえる,かなえ
かなえる,かなえよ
かなえる,かなえる
かなり,かなり
かねる,かね
かばう,かばい
かばう,かばう
かばう,かばお
かばう,かばっ
かぶる,かぶ
かぶる,かぶっ
かぶる,かぶら
かぶる,かぶり
かぶる,かぶる
かぶる,かぶれ
かまう,かまい
かまう,かまう
かまう,かまっ
かまう,かまわ
かみつく,かみつい
かみつく,かみつき
かみつく,かみつく
かむ,かま
かむ,かみ
かむ,かむ
かむ,かも
かむ,かん
かも,かも
かよ,かよ
かよう,かよい
かよう,かよう
かよう,かよえ
かよう,かよっ
から,から
からかう,からかう
からかう,からかっ
からかう,からかわ
からには,からには
からむ,からも
からむ,からん
かれる,かれ
かれる,かれる
かわいい,かわい
かわいい,かわいい
かわいい,かわいかっ
かわいい,かわいく
かわいそう,かわいそう
かわく,かわい
かわく,かわか
かわり,かわり
かん,かん
か月,か月
が,が
がい,がい
がたい,がたい
がたい,がたく
がち,がち
がっつく,がっつい
がる,が
がる,がっ
がる,がら
がる,がり
がる,がる
がる,がれ
がる,がん
がれ,がれ
がんばる,がんばっ
がんばる,がんばり
がんばる,がんばる
き,き
き,し
きく,きい
きく,きか
きく,きき
きく,きく
きたえる,きたえ
きちんと,きちんと
きっかけ,きっかけ
きっと,きっと
きつい,きつ
きつい,きつい
きつい,きつかっ
きつい,きつく
きみ,きみ
きらい,きらい
きり,きり
きる,き
きる,きっ
きる,きら
きる,きり
きる,きる
きる,きろ
きれい,きれい
きれる,きれ
きれる,きれる
きれる,きれん
く,か
く,きゃ
く,く
く,け
く,こ
く,っ
くい,く
くい,くい
くい,くぅ
くい,くう
くい,くから
くい,くき
くい,くく
くい,くくっ
くい,くし
くいる,くい
くぐる,くぐっ
くぐる,くぐり
くぐる,くぐる
くぐる,くぐれ
くさい,くさ
くさい,くさい
くさい,くさく
くしゃみ,くしゃみ
くじ,くじ
くじける,くじける
くせ,くせ
くそ,くそ
くだ,くだ
くださる,ください
くださる,くださっ
くださる,くださら
くださる,くださる
くださる,くだされ
くだらない,くだらない
くつ下,くつ下
くま,くま
くらい,くらい
くり,くり
くる,き
くる,く
くる,くっ
くる,くり
くる,くる
くる,くれ
くる,くん
くる,こ
くる,こい
くる,こよ
くるう,くるっ
くるまれる,くるまれ
くれぐれも,くれぐれも
くれる,くれ
くれる,くれよ
くれる,くれりゃ
くれる,くれる
くれる,くれれ
くれる,くん
くん,くん
ぐいぐい,ぐいぐい
ぐっすり,ぐっすり
ぐっと,ぐっと
ぐらい,ぐらい
け,け
けち,けち
けど,けど
けども,けども
けなす,けなさ
けなす,けなし
ける,けっ
ける,けら
ける,けりゃ
ける,ける
ける,けれ
ける,けろ
ける,けん
けれど,けれど
けれども,けれども
けんか,けんか
げっ,げっ
げんこつ,げんこつ
こ,こ
こい,こ
こい,こい
こい,こかっ
こい,こき
こい,こく
こいつ,こいつ
こう,こい
こう,こう
こう,こっ
こういう,こういう
こうか,こうか
こうした,こうした
こうして,こうして
こぎ着ける,こぎ着け
こける,こけ
こける,こける
ここ,ここ
こじれる,こじれ
こじれる,こじれる
こそ,こそ
こたつ,こたつ
こだわる,こだわっ
こだわる,こだわら
こだわる,こだわる
こちら,こちら
こっそり,こっそり
こっち,こっち
こと,こと
ことに,ことに
ことみ,ことみ
こないだ,こないだ
この,この
この世,この世
この間,この間
こぼす,こぼし
こぼす,こぼす
こら,こら
こらぁ,こらぁ
こりゃ,こりゃ
こる,こっ
こる,これ
これ,これ
これから,これから
これら,これら
ころ,ころ
こわい,こわ
こわい,こわい
こんな,こんな
こんなに,こんなに
こんなにも,こんなにも
こんなふうに,こんなふうに
こんにちは,こんにちは
ご,ご
ごきげんよう,ごきげんよう
ごく,ごく
ござる,ござい
ござる,ござる
ござる,ござん
ごちそうさま,ごちそうさま
ごと,ごと
ごとし,ごとき
ごとし,ごとく
ごとし,ごとし
ごはん,ごはん
ごま,ごま
ごみ,ごみ
ごめん,ごめん
ごめんなさい,ごめんなさい
ごらん,ごらん
ごろ,ごろ
ご存じ,ご存じ
ご存知,ご存知
ご無沙汰,ご無沙汰
ご苦労,ご苦労
ご覧,ご覧
ご飯,ご飯
ご馳走,ご馳走
さ,さ
さぁ,さぁ
さあ,さあ
さえ,さえ
さえ子,さえ子
さくら,さくら
ささげる,ささげ
ささげる,ささげる
さして,さして
さす,ささ
さす,さし
さす,さす
さす,さそ
さすが,さすが
させる,させ
させる,させよ
させる,させりゃ
させる,させる
させる,させろ
さっき,さっき
さっさと,さっさと
さっそく,さっそく
さっと,さっと
さっぱり,さっぱり
さて,さて
さてと,さてと
さばける,さばける
さぼる,さぼっ
さぼる,さぼら
さぼる,さぼり
さぼる,さぼる
さま,さま
さまざま,さまざま
さみしい,さみし
さみしい,さみしい
さみしい,さみしく
さむい,さむ
さらう,さらう
さらう,さらっ
さらう,さらわ
さらす,さらさ
さらす,さらし
さらす,さらす
さらす,さらせ
さらに,さらに
さる,さっ
さる,さり
さる,さる
さる,され
さる,さん
さわやか,さわやか
さわる,さわっ
さわる,さわら
さわる,さわん
さん,さん
し,し
しおる,しお
しおる,しおっ
しおる,しおり
しか,しか
しかし,しかし
しかして,しかして
しかしながら,しかしながら
しかた,しかた
しかも,しかも
しかる,しから
しかる,しかり
しかる,しかる
したう,したい
したう,したっ
したがう,したがっ
しっかり,しっかり
しつこい,しつこい
しつこい,しつこかっ
しつこい,しつこく
してやる,してや
してやる,してやっ
してやる,してやら
してやる,してやり
してやる,してやる
してやる,してやれ
してやる,してやろ
しのぐ,しのい
しのぐ,しのぐ
しのぐ,しのご
しばらく,しばらく
しびれる,しびれ
しびれる,しびれる
しぼむ,しぼん
しま,しま
しまう,しまい
しまう,しまう
しまう,しまえ
しまう,しまお
しまう,しまっ
しまう,しまわ
しみったれる,しみったれ
しゃべる,しゃべ
しゃべる,しゃべっ
しゃべる,しゃべら
しゃべる,しゃべり
しゃべる,しゃべる
しゃべる,しゃべれ
しゃべる,しゃべろ
しゃべる,しゃべん
しゅっ,しゅっ
しょう,しょう
しょう,しょお
しょう,しょっ
しょうが,しょうが
しょうゆ,しょうゆ
しょせん,しょせん
しょっちゅう,しょっちゅう
しよう,しよう
しれる,しれ
しれる,しれん
しろくま,しろくま
しんどい,しんどい
しんどい,しんどかっ
しんどい,しんどく
じ,じ
じいさん,じいさん
じっくり,じっくり
じっと,じっと
じまう,じまい
じまう,じまう
じまう,じまえ
じまう,じまお
じまう,じまっ
じまう,じまわ
じゃ,じゃ
じゃ,じゃっ
じゃ,じゃろ
じゃあ,じゃあ
じゃう,じゃっ
じゃん,じゃん
す,さ
す,し
す,しゃ
す,す
す,そ
すい,す
すい,すい
すい,すぅ
すい,すかっ
すい,すから
すい,すく
すいません,すいません
すう,すい
すう,すっ
すか,すか
すぎ,すぎ
すぎる,すぎ
すぎる,すぎよ
すぎる,すぎりゃ
すぎる,すぎる
すぎる,すぎれ
すぎる,すぎん
すく,すい
すく,すか
すく,すき
すく,すけ
すく,すこ
すぐ,すぐ
すぐれる,すぐれ
すげる,すげ
すこし,すこし
すごい,すご
すごい,すごい
すごい,すごかっ
すごい,すごく
すごい,すごくっ
すごみ,すごみ
すすぐ,すすい
すすぐ,すすぎ
すすぐ,すすぐ
すすぐ,すすご
すっかり,すっかり
すっきり,すっきり
すっごい,すっご
すっごい,すっごい
すっごい,すっごく
すっぴん,すっぴん
すっぽかす,すっぽかし
すでに,すでに
すねる,すね
すばらしい,すばらしい
すばらしい,すばらしかっ
すばらしい,すばらしき
すばらしい,すばらしく
すべて,すべて
すまん,すまん
すみません,すみません
すむ,すま
すむ,すみ
すむ,すむ
すむ,すも
すむ,すん
すら,すら
する,さ
する,し
する,しょ
する,しよ
する,しろ
する,す
する,すっ
する,すら
する,すり
する,すりゃ
する,する
する,すれ
する,すろ
する,すん
する,せ
する,せい
する,せよ
すると,すると
すれ違い,すれ違い
すれ違う,すれ違う
すれ違う,すれ違っ
ずし,ずし
ずっと,ずっと
ずつ,ずつ
ずばり,ずばり
ずるい,ずるい
ずるい,ずるく
ずーっと,ずーっと
せい,せい
せいぜい,せいぜい
せいなん,せいなん
せいは,せいは
せっかく,せっかく
せまい,せまい
せめて,せめて
せる,せ
せる,せっ
せる,せよ
せる,せら
せる,せりゃ
せる,せる
せる,せれ
せる,せろ
せる,せん
ぜ,ぜ
ぜひ,ぜひ
そ,そ
そいつ,そいつ
そう,そい
そう,そう
そう,そお
そう,そっ
そういう,そういう
そういった,そういった
そういや,そういや
そうした,そうした
そうしたら,そうしたら
そうすると,そうすると
そうですね,そうですね
そうなると,そうなると
そうね,そうね
そこ,そこ
そこそこ,そこそこ
そこで,そこで
そこら,そこら
そしたら,そしたら
そして,そして
そそる,そそ
そそる,そそる
そちら,そちら
そっ,そっ
そっくり,そっくり
そっち,そっち
そっと,そっと
その,その
そのうえ,そのうえ
そのうち,そのうち
そのまま,そのまま
そのもの,そのもの
その他,その他
その後,その後
その間,その間
そば,そば
そもそも,そもそも
そら,そら
そりゃ,そりゃ
そる,そっ
そる,そら
そる,そり
そる,そる
そる,そろ
それ,それ
それから,それから
それぞれ,それぞれ
それだけ,それだけ
それで,それで
それでは,それでは
それでも,それでも
それと,それと
それとなく,それとなく
それとも,それとも
それなのに,それなのに
それなら,それなら
それに,それに
それにしても,それにしても
それら,それら
そろそろ,そろそろ
そんな,そんな
そんなに,そんなに
そんなふうに,そんなふうに
ぞ,ぞ
ぞっと,ぞっと
た,た
た,たら
た,たろ
たい,た
たい,たい
たい,たかっ
たい,たき
たい,たきゃ
たい,たく
たい,たくっ
たい,たけれ
たい,たし
たい,てぇ
たい,てえ
たい,とう
たくさん,たくさん
たくむ,たくも
たしか,たしか
たす,たさ
たす,たし
たす,たす
たす,たそ
たずねる,たずね
たたき起こす,たたき起こし
たたき起こす,たたき起こす
たたく,たたい
たたく,たたか
たたく,たたき
たたく,たたきゃ
たたく,たたく
たたく,たたけ
ただ,ただ
ただいま,ただいま
ただし,ただし
ただ今,ただ今
たち,たち
たった,たった
たった今,たった今
たって,たって
たっぷり,たっぷり
たつ,たた
たつ,たち
たつ,たちゃ
たつ,たっ
たつ,たつ
たつ,たと
たて,たて
たとえ,たとえ
たとえば,たとえば
たどりつく,たどりつい
たどりつく,たどりつき
たどりつく,たどりつく
たどり着く,たどり着い
たどり着く,たどり着か
たどり着く,たどり着き
たどり着く,たどり着く
たどり着く,たどり着け
たぬき,たぬき
たのむ,たのみ
たのむ,たのも
たび,たび
たぶん,たぶん
たま,たま
たまたま,たまたま
たまに,たまに
たまらない,たまらない
たまらない,たまらなかっ
たまらない,たまらなく
たまる,たまっ
たまる,たまら
たまる,たまり
たまる,たまる
たまる,たまん
ため,ため
ためる,ため
ためる,ためりゃ
ためる,ためる
ためる,ためろ
ため息,ため息
たり,たら
たり,たり
たり,たる
たり,たれ
たわける,たわけ
たん,たん
だ,だ
だ,だっ
だ,だら
だ,だろ
だ,で
だ,な
だ,なら
だいぶ,だいぶ
だから,だから
だからこそ,だからこそ
だが,だが
だけ,だけ
だけど,だけど
だし,だし
だす,ださ
だす,だし
だす,だす
だす,だそ
だって,だって
だの,だの
だべる,だべっ
だべる,だべら
だます,だまさ
だます,だまし
だます,だます
だます,だませ
だまる,だまり
だまる,だまる
だまる,だまれ
だめ,だめ
だらけ,だらけ
だらける,だらけ
だり,だり
だるい,だるく
だんだん,だんだん
ちえ子,ちえ子
ちぎれる,ちぎれ
ちぎれる,ちぎれる
ちげ,ちげ
ちなみに,ちなみに
ちまう,ちまい
ちまう,ちまう
ちまう,ちまえ
ちまう,ちまお
ちまう,ちまっ
ちまう,ちまわ
ちゃ,ちゃ
ちゃう,ちゃい
ちゃう,ちゃう
ちゃう,ちゃえ
ちゃう,ちゃお
ちゃう,ちゃっ
ちゃう,ちゃわ
ちゃらんぽらん,ちゃらんぽらん
ちゃり,ちゃり
ちゃん,ちゃん
ちゃんと,ちゃんと
ちゃーん,ちゃーん
ちや,ちや
ちょ,ちょ
ちょうど,ちょうど
ちょっと,ちょっと
ちょっとした,ちょっとした
ちょっぴり,ちょっぴり
ちょろい,ちょろ
ちょろい,ちょろい
ちょん,ちょん
ちらす,ちらさ
ちらす,ちらし
ちり,ちり
ちる,ち
ちる,ちっ
ちる,ちり
ちる,ちる
ちる,ちろ
ちる,ちん
っきり,っきり
っけ,っけ
っす,っし
っす,っしょ
っす,っす
って,って
っていう,っていう
ってな,ってな
っと,っと
っぽい,っぽ
っぽい,っぽい
っぽい,っぽかっ
っぽい,っぽく
っ子,っ子
つ,つ
つい,つい
ついていける,ついていけ
ついていける,ついていけん
ついてる,ついて
ついてる,ついてる
ついてる,ついてん
ついで,ついで
ついでに,ついでに
ついに,ついに
つかう,つかい
つかう,つかっ
つかう,つかわ
つかむ,つかま
つかむ,つかみ
つかむ,つかむ
つかむ,つかめ
つかむ,つかも
つかむ,つかん
つかめる,つかめ
つかめる,つかめよ
つかめる,つかめる
つきあい,つきあい
つきあう,つきあう
つきあう,つきあっ
つきそう,つきそっ
つきそう,つきそわ
つきもの,つきもの
つく,つい
つく,つか
つく,つき
つく,つく
つく,つけ
つくる,つくっ
つくる,つくら
つくる,つくり
つくる,つくる
つくる,つくれ
つくる,つくろ
つくれる,つくれ
つくれる,つくれる
つけ,つけ
つける,つけ
つける,つけよ
つける,つけりゃ
つける,つける
つける,つけれ
つける,つけろ
つける,つけん
つつ,つつ
つと,つと
つながり,つながり
つながる,つながっ
つながる,つながら
つながる,つながり
つながる,つながる
つながる,つながれ
つながる,つながん
つなぐ,つない
つなぐ,つなが
つなぐ,つなぎ
つなぐ,つなぎゃ
つなぐ,つなぐ
つなぐ,つなげ
つなぐ,つなご
つば,つば
つぶる,つぶっ
つぶる,つぶり
つまむ,つまみ
つまむ,つまん
つまらない,つまらな
つまらない,つまらない
つまり,つまり
つまる,つまっ
つまる,つまら
つまる,つまり
つめ,つめ
つもり,つもり
つもる,つもら
つらい,つら
つらい,つらい
つらい,つらかっ
つらい,つらく
つる,つ
つる,つっ
つる,つら
つる,つる
つるむ,つるん
づくり,づくり
づらい,づら
づらい,づらい
づらい,づらかっ
づらい,づらかろ
づらい,づらく
づらい,づらし
て,て
ていう,ていう
てか,てか
てく,てか
てく,てき
てく,てく
てく,てこ
てく,てっ
てっきり,てっきり
てひどい,てひどい
てる,て
てる,てっ
てる,てよ
てる,てら
てる,てり
てる,てりゃ
てる,てる
てる,てれ
てる,てろ
てる,てん
てん,てん
で,で
でかい,でか
でかい,でかい
でかい,でかかっ
でかい,でかく
でき,でき
できる,でき
できる,できよ
できる,できりゃ
できる,できる
できる,できれ
できる,できん
できるだけ,できるだけ
です,でし
です,でしょ
です,です
ですから,ですから
ですが,ですが
でないと,でないと
では,では
でも,でも
でる,で
でる,でる
でんぶ,でんぶ
と,と
とい,とい
という,という
といった,といった
とうとう,とうとう
とおり,とおり
とか,とか
とかいう,とかいう
とかす,とかさ
とかす,とかし
とき,とき
ときどき,ときどき
ときには,ときには
とく,とい
とく,とか
とく,とき
とく,ときゃ
とく,とく
とく,とけ
とく,とこ
とこ,とこ
とことん,とことん
ところ,ところ
ところが,ところが
として,として
とたん,とたん
とっくに,とっくに
とっさ,とっさ
とっても,とっても
とっとと,とっとと
とつ,とつ
とても,とても
とともに,とともに
とどまる,とどまっ
とどまる,とどまら
とどまる,とどまる
となり,となり
とにかく,とにかく
とも,とも
ともかく,ともかく
とやかく,とやかく
とらわれる,とらわれ
とらわれる,とらわれる
とりあえず,とりあえず
とる,と
とる,とっ
とる,とら
とる,とり
とる,とりゃ
とる,とる
とる,とれ
とる,とん
とんでも,とんでも
とんと,とんと
と共に,と共に
ど,ど
どう,どう
どういう,どういう
どういたしまして,どういたしまして
どうか,どうか
どうして,どうして
どうしても,どうしても
どうせ,どうせ
どうぞ,どうぞ
どうにも,どうにも
どうも,どうも
どうやら,どうやら
どおり,どおり
どく,どい
どく,どか
どく,どき
どく,どきゃ
どく,どく
どく,どけ
どく,どこ
どける,どけ
どける,どけよ
どける,どけろ
どこ,どこ
どころ,どころ
どころか,どころか
どちら,どちら
どっか,どっか
どっち,どっち
どの,どの
ども,ども
どる,どっ
どる,どり
どる,どりゃ
どる,どる
どる,どろ
どれ,どれ
どん,どん
どんどん,どんどん
どんな,どんな
どんなに,どんなに
どー,どー
な,な
なぁ,なぁ
なあ,なあ
なあに,なあに
ない,な
ない,ない
ない,なう
ない,なかっ
ない,なから
ない,なかれ
ない,なかろ
ない,なき
ない,なきゃ
ない,なく
ない,なくっ
ない,なけりゃ
ない,なけれ
ない,なし
ない,ねぇ
ない,ねえ
ない,のう
ないがしろ,ないがしろ
ないし,ないし
なお,なお
なおす,なおさ
なおす,なおす
なおす,なおそ
なかなか,なかなか
ながら,ながら
なく,なきゃ
なく,なく
なく,なこ
なくす,なくし
なくす,なくす
なくなる,なくなっ
なくなる,なくなら
なくなる,なくなり
なくなる,なくなる
なくなる,なくなれ
なさる,なさい
なさる,なさっ
なさる,なさら
なさる,なさる
なさる,なされ
なさる,なさん
なぜ,なぜ
なぜなら,なぜなら
なぞなぞ,なぞなぞ
なっちゃん,なっちゃん
なつかしい,なつかし
なつかしい,なつかしい
など,など
なに,なに
なにか,なにか
なので,なので
なのに,なのに
なまけもの,なまけもの
なまける,なまける
なめる,なめ
なめる,なめる
なめる,なめろ
なめる,なめん
ならば,ならば
なり,なり
なり,なる
なり,なれ
なる,な
なる,なっ
なる,なら
なる,なり
なる,なりゃ
なる,なる
なる,なれ
なる,なろ
なる,なん
なるべく,なるべく
なるほど,なるほど
なれる,なれ
なれる,なれよ
なれる,なれる
なれる,なれれ
なれる,なれん
なん,なん
なんか,なんか
なんだか,なんだか
なんて,なんて
なんで,なんで
なんと,なんと
なんとか,なんとか
なんとなく,なんとなく
なんとも,なんとも
なんの,なんの
なー,なー
に,に
にあがる,にあがっ
にあたって,にあたって
にあたり,にあたり
におい,におい
において,において
にかけて,にかけて
にくい,にく
にくい,にくい
にくい,にくかっ
にくい,にくく
について,について
につけ,につけ
につれ,につれ
につれて,につれて
にて,にて
にとって,にとって
にゃ,にゃ
によって,によって
による,による
にわか,にわか
にんじん,にんじん
に対し,に対し
に対して,に対して
に対する,に対する
に関して,に関して
に関する,に関する
ぬ,ざる
ぬ,ず
ぬ,ずん
ぬ,ぬ
ぬ,ね
ぬいぐるみ,ぬいぐるみ
ぬすむ,ぬすま
ぬらす,ぬらし
ぬるい,ぬるい
ぬるい,ぬるく
ぬれる,ぬれ
ね,ね
ねぇ,ねぇ
ねえ,ねえ
ねこ,ねこ
ねじる,ねじっ
ねじる,ねじる
ねる,ね
ねる,ねっ
ねる,ねり
ねる,ねる
ねる,ねん
ねん,ねん
ねッ,ねッ
ねー,ねー
の,の
のす,のさ
のす,のし
のす,のす
のっぺり,のっぺり
ので,ので
のに,のに
のびる,のび
のびる,のびる
のみ,のみ
のめり込む,のめり込み
のめり込む,のめり込ん
のろま,のろま
のんびり,のんびり
